Complexity,Loss,Equation
1,23.225462,"4.6320987"
2,18.487204,"sqrt(x)"
3,3.6448178,"x ^ 0.8137428"
5,3.5933545,"(x + -0.3162247) ^ 0.81817615"
7,3.2887604,"x ^ (0.849394 - (c * 0.060977682))"
13,3.1908708,"(cos(d - -4.991394) * 1.8825217) * (sqrt(x ^ 1.3628742) - 0.59869164)"
14,3.0982947,"(cos(d) - -4.808831) * ((sqrt(x ^ 1.2554848) - sin(c)) * 0.38922283)"
15,3.0726225,"abs((sqrt(x ^ 1.2554848) - sin(c)) * ((cos(d) - -4.808831) * 0.38922283))"
17,3.0583503,"(0.38922283 * (cos(-0.111168966 + d) - -4.808831)) * abs(sqrt(x ^ 1.2554848) - sin(c))"
